Calculated using 1 exponential

Prompt data : Prompt
Decay data : q00

The initial parameters are:

 Shift Value = 0 ch
               0 sec
 Shift Limit = 600 ch
               3.292181E-08 sec

 T1 Estimate = 367.8318 ch
               2.018281E-08 sec

 A Free
 B1 Free

 Prompt and decay LO = 2 ch
                       1.097394E-10 sec
 Prompt and decay HI = 4096 ch
                       2.247462E-07 sec

 Background on prompt = 0.2075472
 Time calibration = 5.486969E-11 sec/ch
---------------------------------------------
The fitted parameters are:

 Hi reduced to: 3496 ch

 SHIFT = 3.351811 ch
         1.839128E-10 sec
         S.Dev = 6.562068E-12 sec

 T1 = 357.677 ch
      1.962563E-08 sec
      S.Dev = 4.135398E-11 sec

 A  = 1.921455E-02
      S.Dev = 2.931905E-02

 B1 = 4.160425E-02
      [100.00 Rel.Ampl]
      S.Dev = 7.107228E-05

 CHISQ = 1.222581
 [ 3491 degrees of freedom ]

 Chi-squared Probability = 1.7530E-16%
 Durbin-Watson Parameter =   1.477772
 Negative residuals      =   46.60944%
 Residuals < 1 s.dev     =   69.69957%
 Residuals < 2 s.dev     =   94.73534%
 Residuals < 3 s.dev     =   98.45493%
 Residuals < 4 s.dev     =   99.22747%


Chan	Prompt	Decay	Fit	Residuals
2	0	1	1.921455E-02	0.9807854
3	0	1	1.921455E-02	0.9807854
4	0	1	1.921455E-02	0.9807854
5	0	0	1.921455E-02	-1.921455E-02
6	0	1	1.921455E-02	0.9807854
7	0	0	1.921455E-02	-1.921455E-02
8	0	0	1.921455E-02	-1.921455E-02
9	0	1	1.921455E-02	0.9807854
10	0	0	1.921455E-02	-1.921455E-02
11	0	0	1.921455E-02	-1.921455E-02
12	0	0	1.921455E-02	-1.921455E-02
13	0	0	1.921455E-02	-1.921455E-02
14	0	1	1.921455E-02	0.9807854
15	0	2	1.921455E-02	1.400627
16	0	0	1.921455E-02	-1.921455E-02
17	0	1	1.921455E-02	0.9807854
18	0	0	1.921455E-02	-1.921455E-02
19	0	0	1.921455E-02	-1.921455E-02
20	0	0	1.921455E-02	-1.921455E-02
21	0	1	1.921455E-02	0.9807854
22	0	0	1.921455E-02	-1.921455E-02
23	0	0	1.921455E-02	-1.921455E-02
24	0	1	1.921455E-02	0.9807854
25	0	1	1.921455E-02	0.9807854
26	0	0	1.921455E-02	-1.921455E-02
27	0	0	1.921455E-02	-1.921455E-02
28	0	0	1.921455E-02	-1.921455E-02
29	0	1	1.921455E-02	0.9807854
30	0	1	1.921455E-02	0.9807854
31	0	0	1.921455E-02	-1.921455E-02
32	0	0	1.921455E-02	-1.921455E-02
33	0	0	1.921455E-02	-1.921455E-02
34	0	0	1.921455E-02	-1.921455E-02
35	0	0	1.921455E-02	-1.921455E-02
36	0	0	1.921455E-02	-1.921455E-02
37	0	1	1.921455E-02	0.9807854
38	0	0	1.921455E-02	-1.921455E-02
39	0	1	1.921455E-02	0.9807854
40	0	0	1.921455E-02	-1.921455E-02
41	0	0	1.921455E-02	-1.921455E-02
42	0	0	1.921455E-02	-1.921455E-02
43	0	1	1.921455E-02	0.9807854
44	0	0	1.921455E-02	-1.921455E-02
45	0	0	1.921455E-02	-1.921455E-02
46	0	0	1.921455E-02	-1.921455E-02
47	0	1	1.921455E-02	0.9807854
48	0	0	1.921455E-02	-1.921455E-02
49	0	0	1.921455E-02	-1.921455E-02
50	0	0	1.921455E-02	-1.921455E-02
51	0	2	1.921455E-02	1.400627
52	0	0	1.921455E-02	-1.921455E-02
53	0	0	1.921455E-02	-1.921455E-02
54	0	1	1.921455E-02	0.9807854
55	0	0	1.921455E-02	-1.921455E-02
56	0	0	1.921455E-02	-1.921455E-02
57	0	0	1.921455E-02	-1.921455E-02
58	0	0	1.921455E-02	-1.921455E-02
59	0	1	1.921455E-02	0.9807854
60	0	0	1.921455E-02	-1.921455E-02
61	0	1	1.921455E-02	0.9807854
62	0	0	1.921455E-02	-1.921455E-02
63	0	0	1.921455E-02	-1.921455E-02
64	0	0	1.921455E-02	-1.921455E-02
65	0	0	1.921455E-02	-1.921455E-02
66	0	0	1.921455E-02	-1.921455E-02
67	0	0	1.921455E-02	-1.921455E-02
68	0	0	1.921455E-02	-1.921455E-02
69	0	0	1.921455E-02	-1.921455E-02
