Calculated using 1 exponential

Prompt data : Prompt
Decay data : q0.01

The initial parameters are:

 Shift Value = 0 ch
               0 sec
 Shift Limit = 600 ch
               3.292181E-08 sec

 T1 Estimate = 198.9417 ch
               1.091587E-08 sec

 A Free
 B1 Free

 Prompt and decay LO = 2 ch
                       1.097394E-10 sec
 Prompt and decay HI = 4096 ch
                       2.247462E-07 sec

 Background on prompt = 0.2075472
 Time calibration = 5.486969E-11 sec/ch
---------------------------------------------
The fitted parameters are:

 Hi reduced to: 3496 ch

 SHIFT = -0.2209551 ch
         -1.212373E-11 sec
         S.Dev = 6.627554E-12 sec

 T1 = 178.4492 ch
      9.79145E-09 sec
      S.Dev = 3.130236E-11 sec

 A  = 0.4327375
      S.Dev = 2.176531E-02

 B1 = 3.954883E-02
      [100.00 Rel.Ampl]
      S.Dev = 9.76751E-05

 CHISQ = 1.289603
 [ 3491 degrees of freedom ]

 Chi-squared Probability = 1.9288E-20%
 Durbin-Watson Parameter =   1.053483
 Negative residuals      =   45.00715%
 Residuals < 1 s.dev     =   77.25322%
 Residuals < 2 s.dev     =   96.33762%
 Residuals < 3 s.dev     =   98.54077%
 Residuals < 4 s.dev     =   99.02718%


Chan	Prompt	Decay	Fit	Residuals
2	0	0	0.4327375	-0.4327375
3	0	1	0.4327375	0.5672625
4	0	0	0.4327375	-0.4327375
5	0	0	0.4327375	-0.4327375
6	0	0	0.4327375	-0.4327375
7	0	0	0.4327375	-0.4327375
8	0	2	0.4327375	1.108222
9	0	1	0.4327375	0.5672625
10	0	0	0.4327375	-0.4327375
11	0	1	0.4327375	0.5672625
12	0	0	0.4327375	-0.4327375
13	0	0	0.4327375	-0.4327375
14	0	3	0.4327375	1.48221
15	0	0	0.4327375	-0.4327375
16	0	0	0.4327375	-0.4327375
17	0	0	0.4327375	-0.4327375
18	0	1	0.4327375	0.5672625
19	0	0	0.4327375	-0.4327375
20	0	1	0.4327375	0.5672625
21	0	1	0.4327375	0.5672625
22	0	1	0.4327375	0.5672625
23	0	0	0.4327375	-0.4327375
24	0	0	0.4327375	-0.4327375
25	0	0	0.4327375	-0.4327375
26	0	4	0.4327375	1.783631
27	0	0	0.4327375	-0.4327375
28	0	0	0.4327375	-0.4327375
29	0	1	0.4327375	0.5672625
30	0	0	0.4327375	-0.4327375
31	0	0	0.4327375	-0.4327375
32	0	0	0.4327375	-0.4327375
33	0	0	0.4327375	-0.4327375
34	0	2	0.4327375	1.108222
35	0	0	0.4327375	-0.4327375
36	0	0	0.4327375	-0.4327375
37	0	0	0.4327375	-0.4327375
38	0	0	0.4327375	-0.4327375
39	0	1	0.4327375	0.5672625
40	0	1	0.4327375	0.5672625
41	0	0	0.4327375	-0.4327375
42	0	0	0.4327375	-0.4327375
