Calculated using 1 exponential

Prompt data : Prompt
Decay data : q0.02

The initial parameters are:

 Shift Value = 0 ch
               0 sec
 Shift Limit = 600 ch
               3.292181E-08 sec

 T1 Estimate = 125.2253 ch
               6.871072E-09 sec

 A Free
 B1 Free

 Prompt and decay LO = 2 ch
                       1.097394E-10 sec
 Prompt and decay HI = 4096 ch
                       2.247462E-07 sec

 Background on prompt = 0.2075472
 Time calibration = 5.486969E-11 sec/ch
---------------------------------------------
The fitted parameters are:

 Hi reduced to: 3496 ch

 SHIFT = 2.73744 ch
         1.502025E-10 sec
         S.Dev = 5.495725E-12 sec

 T1 = 95.45567 ch
      5.237623E-09 sec
      S.Dev = 1.850899E-11 sec

 A  = 0.3613484
      S.Dev = 1.938896E-02

 B1 = 4.661569E-02
      [100.00 Rel.Ampl]
      S.Dev = 1.448777E-04

 CHISQ = 0.9942517
 [ 3491 degrees of freedom ]

 Chi-squared Probability =   59.19663%
 Durbin-Watson Parameter =   1.099785
 Negative residuals      =   53.07582%
 Residuals < 1 s.dev     =   81.31617%
 Residuals < 2 s.dev     =   97.25322%
 Residuals < 3 s.dev     =   98.79829%
 Residuals < 4 s.dev     =   99.17024%


Chan	Prompt	Decay	Fit	Residuals
2	0	0	0.3613484	-0.3613484
3	0	0	0.3613484	-0.3613484
4	0	1	0.3613484	0.6386516
5	0	0	0.3613484	-0.3613484
6	0	0	0.3613484	-0.3613484
7	0	0	0.3613484	-0.3613484
8	0	0	0.3613484	-0.3613484
9	0	1	0.3613484	0.6386516
10	0	1	0.3613484	0.6386516
11	0	0	0.3613484	-0.3613484
12	0	0	0.3613484	-0.3613484
13	0	0	0.3613484	-0.3613484
14	0	0	0.3613484	-0.3613484
15	0	0	0.3613484	-0.3613484
16	0	0	0.3613484	-0.3613484
17	0	0	0.3613484	-0.3613484
18	0	1	0.3613484	0.6386516
19	0	0	0.3613484	-0.3613484
20	0	1	0.3613484	0.6386516
21	0	1	0.3613484	0.6386516
22	0	0	0.3613484	-0.3613484
23	0	0	0.3613484	-0.3613484
24	0	1	0.3613484	0.6386516
25	0	0	0.3613484	-0.3613484
26	0	0	0.3613484	-0.3613484
27	0	0	0.3613484	-0.3613484
28	0	0	0.3613484	-0.3613484
29	0	0	0.3613484	-0.3613484
30	0	1	0.3613484	0.6386516
31	0	0	0.3613484	-0.3613484
32	0	1	0.3613484	0.6386516
33	0	0	0.3613484	-0.3613484
34	0	1	0.3613484	0.6386516
