Calculated using 1 exponential

Prompt data : Prompt
Decay data : q0.04

The initial parameters are:

 Shift Value = 0 ch
               0 sec
 Shift Limit = 600 ch
               3.292181E-08 sec

 T1 Estimate = 39.67297 ch
               2.176844E-09 sec

 A Free
 B1 Free

 Prompt and decay LO = 2 ch
                       1.097394E-10 sec
 Prompt and decay HI = 4096 ch
                       2.247462E-07 sec

 Background on prompt = 0.2075472
 Time calibration = 5.486969E-11 sec/ch
---------------------------------------------
The fitted parameters are:

 Hi reduced to: 3496 ch

 SHIFT = 4.068911 ch
         2.232599E-10 sec
         S.Dev = 3.056815E-12 sec

 T1 = 79.69055 ch
      4.372596E-09 sec
      S.Dev = 1.505594E-11 sec

 A  = 0.3123557
      S.Dev = 1.888104E-02

 B1 = 4.722546E-02
      [100.00 Rel.Ampl]
      S.Dev = 1.596161E-04

 CHISQ = 0.7701366
 [ 3491 degrees of freedom ]

 Chi-squared Probability =        100%
 Durbin-Watson Parameter =   1.196938
 Negative residuals      =   58.25465%
 Residuals < 1 s.dev     =    84.8927%
 Residuals < 2 s.dev     =   97.59657%
 Residuals < 3 s.dev     =    98.8269%
 Residuals < 4 s.dev     =   99.17024%


Chan	Prompt	Decay	Fit	Residuals
2	0	0	0.3123557	-0.3123557
3	0	0	0.3123557	-0.3123557
4	0	0	0.3123557	-0.3123557
5	0	0	0.3123557	-0.3123557
6	0	0	0.3123557	-0.3123557
7	0	0	0.3123557	-0.3123557
8	0	0	0.3123557	-0.3123557
9	0	2	0.3123557	1.193345
10	0	1	0.3123557	0.6876443
11	0	0	0.3123557	-0.3123557
12	0	1	0.3123557	0.6876443
13	0	1	0.3123557	0.6876443
14	0	0	0.3123557	-0.3123557
15	0	1	0.3123557	0.6876443
16	0	0	0.3123557	-0.3123557
17	0	0	0.3123557	-0.3123557
18	0	0	0.3123557	-0.3123557
19	0	0	0.3123557	-0.3123557
20	0	0	0.3123557	-0.3123557
21	0	0	0.3123557	-0.3123557
22	0	1	0.3123557	0.6876443
23	0	0	0.3123557	-0.3123557
24	0	0	0.3123557	-0.3123557
25	0	0	0.3123557	-0.3123557
26	0	0	0.3123557	-0.3123557
27	0	0	0.3123557	-0.3123557
28	0	0	0.3123557	-0.3123557
29	0	0	0.3123557	-0.3123557
30	0	1	0.3123557	0.6876443
31	0	1	0.3123557	0.6876443
32	0	1	0.3123557	0.6876443
33	0	1	0.3123557	0.6876443
34	0	1	0.3123557	0.6876443
35	0	0	0.3123557	-0.3123557
36	0	0	0.3123557	-0.3123557
37	0	0	0.3123557	-0.3123557
38	0	0	0.3123557	-0.3123557
39	0	0	0.3123557	-0.3123557
40	0	0	0.3123557	-0.3123557
41	0	0	0.3123557	-0.3123557
42	0	1	0.3123557	0.6876443
43	0	1	0.3123557	0.6876443
44	0	1	0.3123557	0.6876443
45	0	0	0.3123557	-0.3123557
46	0	0	0.3123557	-0.3123557
47	0	3	0.3123557	1.551712
48	0	0	0.3123557	-0.3123557
49	0	0	0.3123557	-0.3123557
50	0	0	0.3123557	-0.3123557
51	0	0	0.3123557	-0.3123557
52	0	1	0.3123557	0.6876443
53	0	0	0.3123557	-0.3123557
54	0	0	0.3123557	-0.3123557
55	0	0	0.3123557	-0.3123557
56	0	0	0.3123557	-0.3123557
57	0	0	0.3123557	-0.3123557
58	0	0	0.3123557	-0.3123557
59	0	1	0.3123557	0.6876443
60	0	0	0.3123557	-0.3123557
61	0	0	0.3123557	-0.3123557
62	0	0	0.3123557	-0.3123557
63	0	0	0.3123557	-0.3123557
64	0	0	0.3123557	-0.3123557
65	0	0	0.3123557	-0.3123557
66	0	0	0.3123557	-0.3123557
67	0	0	0.3123557	-0.3123557
68	0	1	0.3123557	0.6876443
69	0	0	0.3123557	-0.3123557
70	0	1	0.3123557	0.6876443
71	0	0	0.3123557	-0.3123557
72	0	0	0.3123557	-0.3123557
73	0	1	0.3123557	0.6876443
74	0	0	0.3123557	-0.3123557
75	0	0	0.3123557	-0.3123557
76	0	0	0.3123557	-0.3123557
77	0	1	0.3123557	0.6876443
78	0	0	0.3123557	-0.3123557
79	0	0	0.3123557	-0.3123557
80	0	0	0.3123557	-0.3123557
81	0	0	0.3123557	-0.3123557
82	0	1	0.3123557	0.6876443
83	0	0	0.3123557	-0.3123557
84	0	1	0.3123557	0.6876443
85	0	1	0.3123557	0.6876443
86	0	1	0.3123557	0.6876443
87	0	2	0.3123557	1.193345
88	0	0	0.3123557	-0.3123557
89	0	0	0.3123557	-0.3123557
90	0	1	0.3123557	0.6876443
91	0	1	0.3123557	0.6876443
92	0	0	0.3123557	-0.3123557
93	0	0	0.3123557	-0.3123557
94	0	0	0.3123557	-0.3123557
95	0	0	0.3123557	-0.3123557
96	0	0	0.3123557	-0.3123557
97	0	0	0.3123557	-0.3123557
98	0	0	0.3123557	-0.3123557
99	0	0	0.3123557	-0.3123557
100	0	0	0.3123557	-0.3123557
101	0	0	0.3123557	-0.3123557
102	0	0	0.3123557	-0.3123557
103	1	0	0.3123557	-0.3123557
104	0	0	0.3123557	-0.3123557
105	0	1	0.3123557	0.6876443
