Calculated using 1 exponential

Prompt data : Prompt
Decay data : q0.05

The initial parameters are:

 Shift Value = 0 ch
               0 sec
 Shift Limit = 600 ch
               3.292181E-08 sec

 T1 Estimate = 111.0101 ch
               6.091091E-09 sec

 A Free
 B1 Free

 Prompt and decay LO = 2 ch
                       1.097394E-10 sec
 Prompt and decay HI = 4096 ch
                       2.247462E-07 sec

 Background on prompt = 0.2075472
 Time calibration = 5.486969E-11 sec/ch
---------------------------------------------
The fitted parameters are:

 Hi reduced to: 3496 ch

 SHIFT = 2.680591 ch
         1.470832E-10 sec
         S.Dev = 5.093841E-12 sec

 T1 = 64.30193 ch
      3.528226E-09 sec
      S.Dev = 1.470783E-11 sec

 A  = 0.4695446
      S.Dev = 1.893519E-02

 B1 = 5.055552E-02
      [100.00 Rel.Ampl]
      S.Dev = 1.839923E-04

 CHISQ = 0.8963885
 [ 3491 degrees of freedom ]

 Chi-squared Probability =   99.99963%
 Durbin-Watson Parameter =   1.103027
 Negative residuals      =   49.44206%
 Residuals < 1 s.dev     =   81.60229%
 Residuals < 2 s.dev     =   97.48212%
 Residuals < 3 s.dev     =   98.91273%
 Residuals < 4 s.dev     =   99.14163%


Chan	Prompt	Decay	Fit	Residuals
2	0	0	0.4695446	-0.4695446
3	0	1	0.4695446	0.5304555
4	0	0	0.4695446	-0.4695446
5	0	0	0.4695446	-0.4695446
6	0	1	0.4695446	0.5304555
7	0	0	0.4695446	-0.4695446
8	0	0	0.4695446	-0.4695446
9	0	0	0.4695446	-0.4695446
10	0	0	0.4695446	-0.4695446
11	0	0	0.4695446	-0.4695446
12	0	1	0.4695446	0.5304555
13	0	1	0.4695446	0.5304555
14	0	1	0.4695446	0.5304555
15	0	1	0.4695446	0.5304555
16	0	1	0.4695446	0.5304555
17	0	0	0.4695446	-0.4695446
18	0	1	0.4695446	0.5304555
19	0	0	0.4695446	-0.4695446
20	0	0	0.4695446	-0.4695446
21	0	1	0.4695446	0.5304555
22	0	0	0.4695446	-0.4695446
23	0	0	0.4695446	-0.4695446
24	0	0	0.4695446	-0.4695446
25	0	1	0.4695446	0.5304555
26	0	1	0.4695446	0.5304555
27	0	0	0.4695446	-0.4695446
28	0	1	0.4695446	0.5304555
29	0	2	0.4695446	1.082195
30	0	2	0.4695446	1.082195
31	0	1	0.4695446	0.5304555
32	0	0	0.4695446	-0.4695446
33	0	0	0.4695446	-0.4695446
34	0	0	0.4695446	-0.4695446
35	0	0	0.4695446	-0.4695446
36	0	1	0.4695446	0.5304555
37	0	0	0.4695446	-0.4695446
38	0	0	0.4695446	-0.4695446
39	0	1	0.4695446	0.5304555
40	0	2	0.4695446	1.082195
41	0	0	0.4695446	-0.4695446
42	0	1	0.4695446	0.5304555
43	0	2	0.4695446	1.082195
44	0	1	0.4695446	0.5304555
45	0	1	0.4695446	0.5304555
46	0	0	0.4695446	-0.4695446
47	0	0	0.4695446	-0.4695446
48	0	0	0.4695446	-0.4695446
49	0	3	0.4695446	1.460959
50	0	1	0.4695446	0.5304555
51	0	0	0.4695446	-0.4695446
52	0	0	0.4695446	-0.4695446
53	0	0	0.4695446	-0.4695446
54	0	1	0.4695446	0.5304555
55	0	0	0.4695446	-0.4695446
56	0	1	0.4695446	0.5304555
57	0	2	0.4695446	1.082195
58	0	0	0.4695446	-0.4695446
59	0	0	0.4695446	-0.4695446
60	0	2	0.4695446	1.082195
61	0	0	0.4695446	-0.4695446
62	0	2	0.4695446	1.082195
63	0	0	0.4695446	-0.4695446
64	0	0	0.4695446	-0.4695446
65	0	0	0.4695446	-0.4695446
66	0	0	0.4695446	-0.4695446
67	0	0	0.4695446	-0.4695446
68	0	0	0.4695446	-0.4695446
69	0	0	0.4695446	-0.4695446
70	0	1	0.4695446	0.5304555
71	0	1	0.4695446	0.5304555
72	0	0	0.4695446	-0.4695446
73	0	2	0.4695446	1.082195
74	0	1	0.4695446	0.5304555
75	0	0	0.4695446	-0.4695446
76	0	0	0.4695446	-0.4695446
77	0	0	0.4695446	-0.4695446
78	0	0	0.4695446	-0.4695446
79	0	0	0.4695446	-0.4695446
80	0	1	0.4695446	0.5304555
81	0	0	0.4695446	-0.4695446
82	0	0	0.4695446	-0.4695446
83	0	1	0.4695446	0.5304555
84	0	2	0.4695446	1.082195
85	0	0	0.4695446	-0.4695446
86	0	0	0.4695446	-0.4695446
